Log comes here....[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:48:55] INFO     | uvicorn.access | 127.0.0.1:36728 - "GET /auth/me HTTP/1.1" 200
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:48:55] INFO     | uvicorn.access | 127.0.0.1:36728 - "GET /auth/me HTTP/1.1" 200
[2026-03-22 16:48:55] INFO     | uvicorn.access | 127.0.0.1:36744 - "GET /is-admin?member_id=28498468 HTTP/1.1" 200
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Fetching rides hosted by MemberID 28498468
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Fetching rides taken by MemberID 28498468
[2026-03-22 16:48:55] INFO     | ride_sharing_app | Fetching all rides for UserID: 28498468
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Fetching booking requests for MemberID 28498468
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Fetch ActiveRide + Member (JOIN)
[2026-03-22 16:48:55] INFO     | uvicorn.access | 127.0.0.1:36770 - "GET /booking-requests/pending HTTP/1.1" 200
[2026-03-22 16:48:55] INFO     | uvicorn.access | 127.0.0.1:36780 - "GET /ride-history HTTP/1.1" 200
[2026-03-22 16:48:55] INFO     | ride_sharing_app | Fetched 18 rides
[2026-03-22 16:48:55] INFO     | uvicorn.access | 127.0.0.1:36758 - "GET /booking-requests HTTP/1.1" 200
[2026-03-22 16:48:55] INFO     | uvicorn.access | 127.0.0.1:36756 - "GET /rides HTTP/1.1" 200
[2026-03-22 16:48:55] INFO     | uvicorn.access | 127.0.0.1:36728 - "GET /is-admin?member_id=28498468 HTTP/1.1" 200
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:48:55] INFO     | ride_sharing_app | Fetching all rides for UserID: 28498468
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Fetch ActiveRide + Member (JOIN)
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Fetching booking requests for MemberID 28498468
[2026-03-22 16:48:55] INFO     | ride_sharing_app | Fetched 18 rides
[2026-03-22 16:48:55] INFO     | uvicorn.access | 127.0.0.1:36758 - "GET /booking-requests HTTP/1.1" 200
[2026-03-22 16:48:55] INFO     | uvicorn.access | 127.0.0.1:36756 - "GET /rides HTTP/1.1" 200
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Fetching booking requests for MemberID 28498468
[2026-03-22 16:48:55] INFO     | ride_sharing_app | Fetching all rides for UserID: 28498468
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Fetch ActiveRide + Member (JOIN)
[2026-03-22 16:48:55] INFO     | uvicorn.access | 127.0.0.1:36758 - "GET /booking-requests HTTP/1.1" 200
[2026-03-22 16:48:55] INFO     | ride_sharing_app | Fetched 18 rides
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:48:55] INFO     | uvicorn.access | 127.0.0.1:36756 - "GET /rides HTTP/1.1" 200
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Fetching booking requests for MemberID 28498468
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:48:55] INFO     | uvicorn.access | 127.0.0.1:36780 - "GET /booking-requests HTTP/1.1" 200
[2026-03-22 16:48:55] INFO     | ride_sharing_app | Fetching all rides for UserID: 28498468
[2026-03-22 16:48:55] INFO     | ride_sharing_app | * DB SELECT: Fetch ActiveRide + Member (JOIN)
[2026-03-22 16:48:55] INFO     | ride_sharing_app | Fetched 18 rides
[2026-03-22 16:48:55] INFO     | uvicorn.access | 127.0.0.1:36770 - "GET /rides HTTP/1.1" 200
[2026-03-22 16:49:05] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:49:05] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:49:05] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:49:05] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:49:05] INFO     | ride_sharing_app | * DB SELECT: Fetching rides hosted by MemberID 28498468
[2026-03-22 16:49:05] INFO     | ride_sharing_app | * DB SELECT: Fetching booking requests for MemberID 28498468
[2026-03-22 16:49:05] INFO     | ride_sharing_app | Fetching all rides for UserID: 28498468
[2026-03-22 16:49:05] INFO     | ride_sharing_app | * DB SELECT: Fetch ActiveRide + Member (JOIN)
[2026-03-22 16:49:05] INFO     | ride_sharing_app | * DB SELECT: Fetching rides taken by MemberID 28498468
[2026-03-22 16:49:05] INFO     | uvicorn.access | 127.0.0.1:51010 - "GET /booking-requests HTTP/1.1" 200
[2026-03-22 16:49:05] INFO     | ride_sharing_app | Fetched 18 rides
[2026-03-22 16:49:05] INFO     | uvicorn.access | 127.0.0.1:51014 - "GET /booking-requests/pending HTTP/1.1" 200
[2026-03-22 16:49:05] INFO     | uvicorn.access | 127.0.0.1:50994 - "GET /rides HTTP/1.1" 200
[2026-03-22 16:49:05] INFO     | uvicorn.access | 127.0.0.1:51026 - "GET /ride-history HTTP/1.1" 200
[2026-03-22 16:49:15] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:49:15] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:49:15] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:49:15] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:49:15] INFO     | ride_sharing_app | * DB SELECT: Fetching rides hosted by MemberID 28498468
[2026-03-22 16:49:15] INFO     | ride_sharing_app | Fetching all rides for UserID: 28498468
[2026-03-22 16:49:15] INFO     | ride_sharing_app | * DB SELECT: Fetch ActiveRide + Member (JOIN)
[2026-03-22 16:49:15] INFO     | ride_sharing_app | * DB SELECT: Fetching rides taken by MemberID 28498468
[2026-03-22 16:49:15] INFO     | ride_sharing_app | * DB SELECT: Fetching booking requests for MemberID 28498468
[2026-03-22 16:49:15] INFO     | ride_sharing_app | Fetched 18 rides
[2026-03-22 16:49:15] INFO     | uvicorn.access | 127.0.0.1:50492 - "GET /booking-requests/pending HTTP/1.1" 200
[2026-03-22 16:49:15] INFO     | uvicorn.access | 127.0.0.1:50488 - "GET /booking-requests HTTP/1.1" 200
[2026-03-22 16:49:15] INFO     | uvicorn.access | 127.0.0.1:50478 - "GET /rides HTTP/1.1" 200
[2026-03-22 16:49:15] INFO     | uvicorn.access | 127.0.0.1:50508 - "GET /ride-history HTTP/1.1" 200
[2026-03-22 16:49:25] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:49:25] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:49:25] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:49:25] INFO     | ride_sharing_app | * DB SELECT: Checking Member table for MemberID: 28498468
[2026-03-22 16:49:25] INFO     | ride_sharing_app | Fetching all rides for UserID: 28498468
[2026-03-22 16:49:25] INFO     | ride_sharing_app | * DB SELECT: Fetching booking requests for MemberID 28498468
[2026-03-22 16:49:25] INFO     | ride_sharing_app | * DB SELECT: Fetch ActiveRide + Member (JOIN)
[2026-03-22 16:49:25] INFO     | ride_sharing_app | * DB SELECT: Fetching rides hosted by MemberID 28498468
[2026-03-22 16:49:25] INFO     | uvicorn.access | 127.0.0.1:35930 - "GET /booking-requests HTTP/1.1" 200
[2026-03-22 16:49:25] INFO     | ride_sharing_app | Fetched 18 rides
[2026-03-22 16:49:25] INFO     | ride_sharing_app | * DB SELECT: Fetching rides taken by MemberID 28498468
[2026-03-22 16:49:25] INFO     | uvicorn.access | 127.0.0.1:35938 - "GET /booking-requests/pending HTTP/1.1" 200
